topic,topic_count,producer_e2e_ms,produce_completion_ms,e2e_completion_remainder_ms,wait_on_metadata_ms,run_dir
test_topic_0,1,138.000,119.726,18.274,9.964,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_1,2,52.000,36.238,15.762,3.462,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_2,3,85.000,72.596,12.404,9.181,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_3,4,41.000,33.338,7.662,4.574,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_4,5,38.000,31.111,6.889,4.693,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_5,6,42.000,33.029,8.971,4.674,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_6,7,36.000,28.445,7.555,3.608,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_7,8,94.000,79.088,14.912,6.321,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_8,9,72.000,35.275,36.725,31.347,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_9,10,46.000,35.497,10.503,6.812,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_10,11,58.000,46.786,11.214,7.804,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_11,12,38.000,30.667,7.334,4.438,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_12,13,33.000,27.430,5.570,3.074,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_13,14,34.000,29.411,4.589,1.988,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_14,15,34.000,29.439,4.561,2.880,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_15,16,32.000,27.649,4.351,2.612,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_16,17,34.000,29.579,4.421,1.962,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_17,18,35.000,29.445,5.555,3.384,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_18,19,35.000,30.077,4.923,2.163,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_19,20,35.000,29.603,5.397,2.087,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_20,21,35.000,30.465,4.535,1.841,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_21,22,38.000,34.512,3.488,1.379,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_22,23,34.000,27.607,6.393,4.040,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_23,24,37.000,32.568,4.432,2.335,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_24,25,32.000,26.646,5.354,3.004,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_25,26,34.000,27.056,6.944,4.471,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_26,27,34.000,29.084,4.916,1.849,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_27,28,107.000,100.544,6.456,3.425,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_28,29,33.000,29.495,3.505,1.311,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_29,30,33.000,29.498,3.502,1.440,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_30,31,33.000,28.210,4.790,3.264,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_31,32,34.000,29.710,4.290,2.054,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_32,33,32.000,28.016,3.984,1.208,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_33,34,33.000,28.149,4.851,2.440,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_34,35,33.000,28.947,4.053,1.966,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_35,36,37.000,32.198,4.802,2.159,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_36,37,31.000,27.570,3.430,1.644,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_37,38,32.000,28.276,3.724,1.914,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_38,39,34.000,27.955,6.045,3.255,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_39,40,30.000,27.166,2.834,1.256,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_40,41,32.000,28.293,3.707,1.505,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_41,42,34.000,28.740,5.260,3.140,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_42,43,35.000,30.524,4.476,1.837,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_43,44,34.000,28.756,5.244,1.528,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_44,45,41.000,35.611,5.389,1.759,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_45,46,31.000,27.186,3.814,1.368,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_46,47,33.000,28.096,4.904,2.629,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_47,48,33.000,29.471,3.529,1.771,experiments/output/disabled_with_jfr/run_20260131_153100
test_topic_48,49,34.000,29.340,4.660,2.465,experiments/output/disabled_with_jfr/run_20260131_153100
