timestamp=2026-01-31T06:36:35.051891637Z
send_ack_total_ms=213648

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=51388, avg_ms_per_topic=102
batch_2_range=501~1000, elapsed_ms=54950, avg_ms_per_topic=109
batch_3_range=1001~1500, elapsed_ms=49264, avg_ms_per_topic=98
batch_4_range=1501~2000, elapsed_ms=50232, avg_ms_per_topic=100
batch_5_range=2001~2500, elapsed_ms=48796, avg_ms_per_topic=97
batch_6_range=2501~3000, elapsed_ms=56556, avg_ms_per_topic=113

=== Per Message Details ===
send_ack_ms_1=138, topic_create_ms=319
send_ack_ms_2=52, topic_create_ms=35
send_ack_ms_3=85, topic_create_ms=32
send_ack_ms_4=41, topic_create_ms=31
send_ack_ms_5=38, topic_create_ms=33
send_ack_ms_6=42, topic_create_ms=32
send_ack_ms_7=36, topic_create_ms=34
send_ack_ms_8=94, topic_create_ms=28
send_ack_ms_9=72, topic_create_ms=39
send_ack_ms_10=46, topic_create_ms=34
send_ack_ms_11=58, topic_create_ms=33
send_ack_ms_12=38, topic_create_ms=31
send_ack_ms_13=33, topic_create_ms=30
send_ack_ms_14=34, topic_create_ms=30
send_ack_ms_15=34, topic_create_ms=29
send_ack_ms_16=32, topic_create_ms=28
send_ack_ms_17=34, topic_create_ms=27
send_ack_ms_18=35, topic_create_ms=36
send_ack_ms_19=35, topic_create_ms=30
send_ack_ms_20=35, topic_create_ms=28
send_ack_ms_21=35, topic_create_ms=29
send_ack_ms_22=38, topic_create_ms=27
send_ack_ms_23=34, topic_create_ms=29
send_ack_ms_24=37, topic_create_ms=13
send_ack_ms_25=32, topic_create_ms=30
send_ack_ms_26=34, topic_create_ms=29
send_ack_ms_27=34, topic_create_ms=28
send_ack_ms_28=107, topic_create_ms=30
send_ack_ms_29=33, topic_create_ms=28
send_ack_ms_30=33, topic_create_ms=28
send_ack_ms_31=33, topic_create_ms=28
send_ack_ms_32=34, topic_create_ms=28
send_ack_ms_33=32, topic_create_ms=28
send_ack_ms_34=33, topic_create_ms=27
send_ack_ms_35=33, topic_create_ms=28
send_ack_ms_36=37, topic_create_ms=29
send_ack_ms_37=31, topic_create_ms=32
send_ack_ms_38=32, topic_create_ms=28
send_ack_ms_39=34, topic_create_ms=29
send_ack_ms_40=30, topic_create_ms=28
send_ack_ms_41=32, topic_create_ms=28
send_ack_ms_42=34, topic_create_ms=27
send_ack_ms_43=35, topic_create_ms=27
send_ack_ms_44=34, topic_create_ms=28
send_ack_ms_45=41, topic_create_ms=28
send_ack_ms_46=31, topic_create_ms=24
send_ack_ms_47=33, topic_create_ms=30
