timestamp=2026-01-31T06:21:33.681260220Z
send_ack_total_ms=520557

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84962, avg_ms_per_topic=169
batch_2_range=501~1000, elapsed_ms=84795, avg_ms_per_topic=169
batch_3_range=1001~1500, elapsed_ms=86318, avg_ms_per_topic=172
batch_4_range=1501~2000, elapsed_ms=89074, avg_ms_per_topic=178
batch_5_range=2001~2500, elapsed_ms=87465, avg_ms_per_topic=174
batch_6_range=2501~3000, elapsed_ms=93157, avg_ms_per_topic=186

=== Per Message Details ===
send_ack_ms_1=311, topic_create_ms=0
send_ack_ms_2=182, topic_create_ms=0
send_ack_ms_3=161, topic_create_ms=0
send_ack_ms_4=161, topic_create_ms=0
send_ack_ms_5=170, topic_create_ms=0
send_ack_ms_6=165, topic_create_ms=0
send_ack_ms_7=153, topic_create_ms=0
send_ack_ms_8=156, topic_create_ms=0
send_ack_ms_9=161, topic_create_ms=0
send_ack_ms_10=165, topic_create_ms=0
send_ack_ms_11=151, topic_create_ms=0
send_ack_ms_12=169, topic_create_ms=0
send_ack_ms_13=155, topic_create_ms=0
send_ack_ms_14=152, topic_create_ms=0
send_ack_ms_15=149, topic_create_ms=0
send_ack_ms_16=157, topic_create_ms=0
send_ack_ms_17=159, topic_create_ms=0
send_ack_ms_18=159, topic_create_ms=0
send_ack_ms_19=162, topic_create_ms=0
send_ack_ms_20=141, topic_create_ms=0
send_ack_ms_21=160, topic_create_ms=0
send_ack_ms_22=168, topic_create_ms=0
send_ack_ms_23=159, topic_create_ms=0
send_ack_ms_24=185, topic_create_ms=0
send_ack_ms_25=160, topic_create_ms=0
send_ack_ms_26=158, topic_create_ms=0
send_ack_ms_27=159, topic_create_ms=0
send_ack_ms_28=158, topic_create_ms=0
send_ack_ms_29=158, topic_create_ms=0
send_ack_ms_30=626, topic_create_ms=0
send_ack_ms_31=152, topic_create_ms=0
send_ack_ms_32=154, topic_create_ms=0
send_ack_ms_33=159, topic_create_ms=0
send_ack_ms_34=153, topic_create_ms=0
send_ack_ms_35=159, topic_create_ms=0
send_ack_ms_36=188, topic_create_ms=0
send_ack_ms_37=153, topic_create_ms=0
send_ack_ms_38=157, topic_create_ms=0
send_ack_ms_39=158, topic_create_ms=0
send_ack_ms_40=160, topic_create_ms=0
send_ack_ms_41=159, topic_create_ms=0
send_ack_ms_42=159, topic_create_ms=0
send_ack_ms_43=160, topic_create_ms=0
send_ack_ms_44=163, topic_create_ms=0
send_ack_ms_45=165, topic_create_ms=0
send_ack_ms_46=153, topic_create_ms=0
send_ack_ms_47=157, topic_create_ms=0
send_ack_ms_48=151, topic_create_ms=0
send_ack_ms_49=158, topic_create_ms=0
send_ack_ms_50=164, topic_create_ms=0
send_ack_ms_51=176, topic_create_ms=0
send_ack_ms_52=211, topic_create_ms=0
send_ack_ms_53=285, topic_create_ms=0
send_ack_ms_54=293, topic_create_ms=0
send_ack_ms_55=205, topic_create_ms=0
send_ack_ms_56=220, topic_create_ms=0
send_ack_ms_57=198, topic_create_ms=0
send_ack_ms_58=200, topic_create_ms=0
send_ack_ms_59=160, topic_create_ms=0
send_ack_ms_60=155, topic_create_ms=0
send_ack_ms_61=168, topic_create_ms=0
send_ack_ms_62=161, topic_create_ms=0
send_ack_ms_63=148, topic_create_ms=0
send_ack_ms_64=154, topic_create_ms=0
send_ack_ms_65=162, topic_create_ms=0
send_ack_ms_66=163, topic_create_ms=0
send_ack_ms_67=165, topic_create_ms=0
send_ack_ms_68=167, topic_create_ms=0
send_ack_ms_69=164, topic_create_ms=0
send_ack_ms_70=149, topic_create_ms=0
send_ack_ms_71=152, topic_create_ms=0
send_ack_ms_72=156, topic_create_ms=0
send_ack_ms_73=153, topic_create_ms=0
send_ack_ms_74=152, topic_create_ms=0
send_ack_ms_75=145, topic_create_ms=0
send_ack_ms_76=167, topic_create_ms=0
send_ack_ms_77=150, topic_create_ms=0
send_ack_ms_78=177, topic_create_ms=0
send_ack_ms_79=142, topic_create_ms=0
send_ack_ms_80=155, topic_create_ms=0
send_ack_ms_81=159, topic_create_ms=0
send_ack_ms_82=161, topic_create_ms=0
send_ack_ms_83=152, topic_create_ms=0
send_ack_ms_84=165, topic_create_ms=0
send_ack_ms_85=152, topic_create_ms=0
send_ack_ms_86=161, topic_create_ms=0
send_ack_ms_87=163, topic_create_ms=0
send_ack_ms_88=156, topic_create_ms=0
send_ack_ms_89=161, topic_create_ms=0
send_ack_ms_90=159, topic_create_ms=0
send_ack_ms_91=155, topic_create_ms=0
send_ack_ms_92=150, topic_create_ms=0
send_ack_ms_93=145, topic_create_ms=0
send_ack_ms_94=159, topic_create_ms=0
send_ack_ms_95=168, topic_create_ms=0
send_ack_ms_96=153, topic_create_ms=0
send_ack_ms_97=157, topic_create_ms=0
send_ack_ms_98=156, topic_create_ms=0
send_ack_ms_99=156, topic_create_ms=0
send_ack_ms_100=134, topic_create_ms=0
send_ack_ms_101=154, topic_create_ms=0
send_ack_ms_102=147, topic_create_ms=0
send_ack_ms_103=163, topic_create_ms=0
send_ack_ms_104=161, topic_create_ms=0
send_ack_ms_105=149, topic_create_ms=0
send_ack_ms_106=154, topic_create_ms=0
send_ack_ms_107=158, topic_create_ms=0
send_ack_ms_108=152, topic_create_ms=0
send_ack_ms_109=151, topic_create_ms=0
send_ack_ms_110=160, topic_create_ms=0
send_ack_ms_111=151, topic_create_ms=0
send_ack_ms_112=155, topic_create_ms=0
send_ack_ms_113=150, topic_create_ms=0
send_ack_ms_114=153, topic_create_ms=0
send_ack_ms_115=155, topic_create_ms=0
send_ack_ms_116=152, topic_create_ms=0
send_ack_ms_117=192, topic_create_ms=0
send_ack_ms_118=144, topic_create_ms=0
send_ack_ms_119=164, topic_create_ms=0
send_ack_ms_120=154, topic_create_ms=0
send_ack_ms_121=166, topic_create_ms=0
send_ack_ms_122=155, topic_create_ms=0
send_ack_ms_123=158, topic_create_ms=0
send_ack_ms_124=161, topic_create_ms=0
send_ack_ms_125=270, topic_create_ms=0
send_ack_ms_126=287, topic_create_ms=0
send_ack_ms_127=217, topic_create_ms=0
send_ack_ms_128=279, topic_create_ms=0
send_ack_ms_129=205, topic_create_ms=0
send_ack_ms_130=139, topic_create_ms=0
send_ack_ms_131=190, topic_create_ms=0
send_ack_ms_132=139, topic_create_ms=0
send_ack_ms_133=156, topic_create_ms=0
send_ack_ms_134=146, topic_create_ms=0
send_ack_ms_135=145, topic_create_ms=0
send_ack_ms_136=154, topic_create_ms=0
send_ack_ms_137=151, topic_create_ms=0
send_ack_ms_138=153, topic_create_ms=0
send_ack_ms_139=160, topic_create_ms=0
send_ack_ms_140=156, topic_create_ms=0
send_ack_ms_141=158, topic_create_ms=0
send_ack_ms_142=156, topic_create_ms=0
send_ack_ms_143=167, topic_create_ms=0
send_ack_ms_144=150, topic_create_ms=0
send_ack_ms_145=163, topic_create_ms=0
send_ack_ms_146=165, topic_create_ms=0
send_ack_ms_147=160, topic_create_ms=0
send_ack_ms_148=160, topic_create_ms=0
send_ack_ms_149=148, topic_create_ms=0
send_ack_ms_150=160, topic_create_ms=0
send_ack_ms_151=157, topic_create_ms=0
send_ack_ms_152=160, topic_create_ms=0
send_ack_ms_153=186, topic_create_ms=0
send_ack_ms_154=153, topic_create_ms=0
