timestamp=2026-01-31T06:30:29.659653218Z
send_ack_total_ms=508164

=== Batch Performance ===
batch_1_range=1~500, elapsed_ms=84392, avg_ms_per_topic=168
batch_2_range=501~1000, elapsed_ms=86659, avg_ms_per_topic=173
batch_3_range=1001~1500, elapsed_ms=82037, avg_ms_per_topic=164
batch_4_range=1501~2000, elapsed_ms=88453, avg_ms_per_topic=176
batch_5_range=2001~2500, elapsed_ms=84505, avg_ms_per_topic=169
batch_6_range=2501~3000, elapsed_ms=87225, avg_ms_per_topic=174

=== Per Message Details ===
send_ack_ms_1=305, topic_create_ms=0
send_ack_ms_2=165, topic_create_ms=0
send_ack_ms_3=222, topic_create_ms=0
send_ack_ms_4=159, topic_create_ms=0
send_ack_ms_5=156, topic_create_ms=0
send_ack_ms_6=158, topic_create_ms=0
send_ack_ms_7=156, topic_create_ms=0
send_ack_ms_8=141, topic_create_ms=0
send_ack_ms_9=156, topic_create_ms=0
send_ack_ms_10=168, topic_create_ms=0
send_ack_ms_11=155, topic_create_ms=0
send_ack_ms_12=158, topic_create_ms=0
send_ack_ms_13=161, topic_create_ms=0
send_ack_ms_14=168, topic_create_ms=0
send_ack_ms_15=178, topic_create_ms=0
send_ack_ms_16=160, topic_create_ms=0
send_ack_ms_17=160, topic_create_ms=0
send_ack_ms_18=160, topic_create_ms=0
send_ack_ms_19=157, topic_create_ms=0
send_ack_ms_20=171, topic_create_ms=0
send_ack_ms_21=166, topic_create_ms=0
send_ack_ms_22=159, topic_create_ms=0
send_ack_ms_23=162, topic_create_ms=0
send_ack_ms_24=163, topic_create_ms=0
send_ack_ms_25=160, topic_create_ms=0
send_ack_ms_26=165, topic_create_ms=0
send_ack_ms_27=158, topic_create_ms=0
send_ack_ms_28=164, topic_create_ms=0
send_ack_ms_29=159, topic_create_ms=0
send_ack_ms_30=167, topic_create_ms=0
send_ack_ms_31=153, topic_create_ms=0
send_ack_ms_32=159, topic_create_ms=0
send_ack_ms_33=160, topic_create_ms=0
send_ack_ms_34=168, topic_create_ms=0
send_ack_ms_35=160, topic_create_ms=0
send_ack_ms_36=155, topic_create_ms=0
send_ack_ms_37=159, topic_create_ms=0
send_ack_ms_38=153, topic_create_ms=0
send_ack_ms_39=151, topic_create_ms=0
send_ack_ms_40=164, topic_create_ms=0
send_ack_ms_41=165, topic_create_ms=0
send_ack_ms_42=156, topic_create_ms=0
send_ack_ms_43=153, topic_create_ms=0
send_ack_ms_44=160, topic_create_ms=0
send_ack_ms_45=153, topic_create_ms=0
send_ack_ms_46=166, topic_create_ms=0
send_ack_ms_47=158, topic_create_ms=0
send_ack_ms_48=159, topic_create_ms=0
send_ack_ms_49=171, topic_create_ms=0
send_ack_ms_50=151, topic_create_ms=0
send_ack_ms_51=142, topic_create_ms=0
send_ack_ms_52=161, topic_create_ms=0
send_ack_ms_53=154, topic_create_ms=0
send_ack_ms_54=161, topic_create_ms=0
send_ack_ms_55=159, topic_create_ms=0
send_ack_ms_56=184, topic_create_ms=0
send_ack_ms_57=287, topic_create_ms=0
send_ack_ms_58=305, topic_create_ms=0
send_ack_ms_59=293, topic_create_ms=0
send_ack_ms_60=215, topic_create_ms=0
send_ack_ms_61=277, topic_create_ms=0
send_ack_ms_62=197, topic_create_ms=0
send_ack_ms_63=159, topic_create_ms=0
send_ack_ms_64=153, topic_create_ms=0
send_ack_ms_65=158, topic_create_ms=0
send_ack_ms_66=147, topic_create_ms=0
send_ack_ms_67=142, topic_create_ms=0
send_ack_ms_68=154, topic_create_ms=0
send_ack_ms_69=163, topic_create_ms=0
send_ack_ms_70=158, topic_create_ms=0
send_ack_ms_71=156, topic_create_ms=0
send_ack_ms_72=155, topic_create_ms=0
send_ack_ms_73=154, topic_create_ms=0
send_ack_ms_74=151, topic_create_ms=0
send_ack_ms_75=156, topic_create_ms=0
send_ack_ms_76=156, topic_create_ms=0
send_ack_ms_77=162, topic_create_ms=0
send_ack_ms_78=148, topic_create_ms=0
send_ack_ms_79=164, topic_create_ms=0
send_ack_ms_80=146, topic_create_ms=0
send_ack_ms_81=154, topic_create_ms=0
send_ack_ms_82=156, topic_create_ms=0
send_ack_ms_83=165, topic_create_ms=0
send_ack_ms_84=169, topic_create_ms=0
send_ack_ms_85=149, topic_create_ms=0
send_ack_ms_86=149, topic_create_ms=0
send_ack_ms_87=155, topic_create_ms=0
send_ack_ms_88=156, topic_create_ms=0
send_ack_ms_89=158, topic_create_ms=0
send_ack_ms_90=160, topic_create_ms=0
send_ack_ms_91=154, topic_create_ms=0
send_ack_ms_92=157, topic_create_ms=0
send_ack_ms_93=152, topic_create_ms=0
send_ack_ms_94=155, topic_create_ms=0
send_ack_ms_95=183, topic_create_ms=0
send_ack_ms_96=153, topic_create_ms=0
send_ack_ms_97=153, topic_create_ms=0
send_ack_ms_98=143, topic_create_ms=0
send_ack_ms_99=157, topic_create_ms=0
send_ack_ms_100=155, topic_create_ms=0
send_ack_ms_101=147, topic_create_ms=0
send_ack_ms_102=149, topic_create_ms=0
send_ack_ms_103=153, topic_create_ms=0
send_ack_ms_104=156, topic_create_ms=0
send_ack_ms_105=158, topic_create_ms=0
send_ack_ms_106=156, topic_create_ms=0
send_ack_ms_107=140, topic_create_ms=0
send_ack_ms_108=157, topic_create_ms=0
send_ack_ms_109=155, topic_create_ms=0
send_ack_ms_110=150, topic_create_ms=0
send_ack_ms_111=140, topic_create_ms=0
send_ack_ms_112=154, topic_create_ms=0
send_ack_ms_113=152, topic_create_ms=0
